,text,label
0,@VirginAmerica What @dhepburn said.,neutral
1,@VirginAmerica plus you've added commercials to the experience... tacky.,positive
2,@VirginAmerica I didn't today... Must mean I need to take another trip!,neutral
3,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",negative
4,@VirginAmerica and it's a really big bad thing about it,negative
5,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",negative
6,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",positive
7,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",neutral
8,"@virginamerica Well, I didn't…but NOW I DO! :-D",positive
9,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",positive
10,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,neutral
11,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,positive
12,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,positive
13,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,positive
14,@VirginAmerica Thanks!,positive
15,@VirginAmerica SFO-PDX schedule is still MIA.,negative
16,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,positive
17,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,negative
18,I ❤️ flying @VirginAmerica. ☺️👍,positive
19,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,positive
20,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,negative
21,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,positive
22,@VirginAmerica I love the hipster innovation. You are a feel good brand.,positive
23,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,neutral
24,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,negative
25,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,negative
26,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,negative
27,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral
